Qtime,Qindustry,Qtitle,Qwork_title,Qlanguages,Qfirst_language,Qr_experience,Qr_year,Qtime_to_proficiency,Qr_learning_path,Qreason_to_learn,Qr_use,Qr_length_to_success,Qr_difficulty,Qr_reason_experienced,Qr_how_often_used,Qr_enjoyment,Qr_difficulty_experienced,Qtidyverse_learning,Qtidyverse_today,Qshiny,Qunit_tests,Qlike_best,Qlike_least,Qrecommend,Qused_for,Qmost_difficult_aspect,blank_question,Qnot_live_without,Qcapability_missing,Qtools,Qchange_one_thing,Qyear_born,Qgender,Qcountry,Qethnicity,Qdegree,Qteam_r_users,Qversion_control,Qtools_with_r,Qobstacles_to_starting,Qbiggest_difficulty,Qhow_to_learn_r,learner_type,Qgender_coded
2018-12-06T22:39:12Z,Research,Research Analyst,Data scientist or analyst,"C/C++, Excel, Java, PHP, SAS, SPSS, Visual Basic",C/C++,Intermediate,2016,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I was personally interested,More than once a day,5,3,Yes,Usually,Frequently -- I frequently use or build Shiny applications,Never -- I don't write unit tests,"Flexibility, enthusiastic and helpful community",Cryptic error messages,10,"Statistical analysis, Data transformation, Modeling, Visualization, Medicine, Survey analysis, Clinical trials",NA,NA,tidyverse,multithreading,NA,NA,1981,female,United States of America,White,"Bachelor’s degree (e.g. BA, BS)",NA,Frequently -- I use version control on most of the code that I write,"Microsoft Excel, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE), Shinyapps.io, SPSS",NA,Error messages,NA,Early Learner,female
2018-12-06T22:41:39Z,Natural Resources and Mining,Biostatistician; Fisheries Scientist,Consultant or Advisor,"Excel, Java, Python, Visual Basic, FORTRAN",True BASIC,Intermediate,2005,Days,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,5,2,No,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Never -- I don't write unit tests,The open source community,"Nit-picking here, but still having to read `<-` in other people's code",10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing, Survey analysis",NA,NA,`system`,An intuitive dictionary type data structure.,NA,"Can't think of anything really (maybe syntax more like Python, e.g. lose the {curly braces}). Thanks to the community, I think it's a lot easier to learn R now, than it was 10+ yrs ago when I started!",1976,male,United States of America,White,"Doctorate (e.g. PhD, EdD)",3,Sometimes -- I use version control on critical parts of my work,"Microsoft Excel, RStudio Desktop (IDE), Bash shell scripts to schedule `cron` like jobs using `Rscript` command",NA,"Lists and `lapply` -- I had previous coding experience in other languages, but only using `for` loops.",NA,Early Learner,male
2018-12-06T22:42:29Z,Financial Services and Activities,Senior Research Analyst,Researcher,"Excel, Matlab, Python, Stata",Stata,Intermediate,2014,Years,all 4 above,NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,5,3,Yes,Occasionally,Never -- I don't use Shiny.,Never -- I don't write unit tests,the community around and open source,Documentation and its examples,10,"Statistical analysis, Data transformation, Modeling, Visualization, Financial analysis",NA,NA,dplyr,don’t know,NA,"documentarion with examples, like Stata",1981,male,United States of America,"White, Hispanic/Latinx","Master’s degree (e.g. MA, MS, MEd)",0,I don't know what version control is.,"Microsoft Excel, RStudio Desktop (IDE)",NA,"Documentation, Finding proper packages to use, Language syntax",NA,Early Learner,male
2018-12-06T22:46:13Z,Research,phd student,Student,"Excel, Matlab, Python, SPSS",SPSS,Intermediate,2014,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I was personally interested,Between once a day and once a week,4,4,No,Occasionally,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Rarely -- I only write unit tests in situations that require it,Lot of things.,"Learning curve can be hard. Its good at most things but really bad at the things that its bad at (example- visualizing logit, ordered logit/probit models)",9,"Statistical analysis, Modeling, Visualization, Survey analysis",NA,NA,Lots of things,Visualize ordered logit and logit models. Make wordcount a default feature in rstudio while uaing markdown.,NA,NA,1990,male,United States of America,Asian,"Master’s degree (e.g. MA, MS, MEd)",10,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","Python, RStudio Desktop (IDE), RStudio Server",NA,"Error messages, Finding proper packages to use, Language syntax",NA,Early Learner,male
2018-12-06T22:46:52Z,Professional and Business Services,Director of Lodging Analytics,Consultant or Advisor,"Excel, Matlab, Visual Basic, Eviews",Excel,Intermediate,2014,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I was personally interested,Between once a day and once a week,5,3,No,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Sometimes -- I write unit tests when I have code that is critical to my project or work,Fits with how I like to process data and how I like to learn (many resources),I frequently work alone in R,10,"Data transformation, Visualization",NA,NA,Dplyr,NA,NA,I learned before tidyverse. I spent a long time trying to manipulate time series data without really understanding what I was doing.,1974,male,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",1,Frequently -- I use version control on most of the code that I write,RStudio Desktop (IDE),NA,Data types,NA,Early Learner,male
2018-12-06T22:47:45Z,"Government Services (Federal, State, or Local)",Data scientist,5,"Javascript, Matlab, Python, Stata",R,Intermediate,2014,Years,On the job,NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,5,4,No,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Rarely -- I only write unit tests in situations that require it,The plotting,The inconsistent syntax,8,"Statistical analysis, Data transformation, Modeling, Visualization, Financial analysis",NA,NA,Ggplot2,A more uniform syntax,NA,NA,1985,male,Canada,White,"One or more graduate courses, no graduate degree",16,Sometimes -- I use version control on critical parts of my work,RStudio Desktop (IDE),NA,"Data types, Language irregularities",NA,Early Learner,male
2018-12-06T22:50:41Z,Information Technologies,Research Scientist,Data scientist or analyst,"Javascript, Matlab, Python, SAS, Visual Basic, SQL",Matlab,Expert,2010,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,3,No,Occasionally,Sometimes -- I use or build Shiny applications occasionally,Rarely -- I only write unit tests in situations that require it,"Ggplot2, it's not SQL, that it can run risk models, economic models, and ml models",I don't have a Shiny Server at work so they try to make me use Tableau,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Financial analysis",NA,NA,"DBI, ggplot2, data.table","I feel R is not well adopted for production pipelines, I think it may be a licensing issue. I get annoyed having to rewrite in python without all my packages!!",NA,MIT license not GPL 3,1980,female,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",1,Sometimes -- I use version control on critical parts of my work,"Jupyter Notebooks, Microsoft Excel, Python, RStudio Desktop (IDE), Shinyapps.io",NA,"Language syntax, Language irregularities, Using the R command line interface",NA,Early Learner,female
2018-12-06T22:53:47Z,Education,NA,Student,"Excel, Python, SPSS",HTML,Intermediate,2015,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,It was part of a course I took,Between once a day and once a week,4,4,No,Rarely,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Never -- I don't write unit tests,It’s free,Nonsensical error messages,8,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Survey analysis",NA,NA,NA,NA,NA,NA,1988,female,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",NA,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","Microsoft Excel, RStudio Desktop (IDE)",NA,Language syntax,NA,Early Learner,female
2018-12-06T22:55:19Z,"Government Services (Federal, State, or Local)",NA,Data scientist or analyst,"C/C++, Excel, Matlab, SAS",C/C++,Intermediate,2009,Weeks,In-person course (including bootcamps and workshops as well as more formal courses),NA,NA,NA,NA,It was part of a course I took,More than once a day,5,2,No,Usually,Never -- I don't use Shiny.,Never -- I don't write unit tests,Great community! Easy (for a statistician) to use.,"Many of my coworkers are using Python, so I feel like an outlier.",10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing",NA,NA,maggritr,NA,NA,NA,1977,female,United States of America,White,"Doctorate (e.g. PhD, EdD)",2,Sometimes -- I use version control on critical parts of my work,"Jupyter Notebooks, R Command Line (i.e., the native R terminal interface), RStudio Server",NA,"Maybe my memory is fuzzy, but I don't remember it being difficult.",NA,Early Learner,female
2018-12-06T22:56:15Z,Research,NA,Researcher,"Excel, Matlab, Python",Pascal,Beginner,2011,I don't feel proficient in R yet.,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,Between once a week and once a month,3,3,No,I don't know what tidyverse is,I don't know what Shiny is.,Never -- I don't write unit tests,NA,NA,10,Statistical analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doctorate (e.g. PhD, EdD)",NA,I don't know what version control is.,"Matlab, Microsoft Excel, Python, R Command Line (i.e., the native R terminal interface)",NA,"Data types, Error messages, Language irregularities",NA,Early Learner,NA
2018-12-06T22:57:02Z,Health Care and Medicine,NA,Researcher,"C/C++, Matlab, SAS",Basic,Intermediate,2001,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I was personally interested,More than once a day,5,2,No,Usually,Sometimes -- I use or build Shiny applications occasionally,Rarely -- I only write unit tests in situations that require it,I can usually figure out what to do with minimal fuss. Mostly thanks to online community.,Updates breaking old code,10,"Data transformation, Modeling, Visualization, Clinical trials",NA,NA,tidyverse,Speed,NA,More powerful vim mode in RStudio,1977,male,United States of America,White,"Doctorate (e.g. PhD, EdD)",5,Sometimes -- I use version control on critical parts of my work,"R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE), RStudio Server Pro, Shiny Server Pro, Nvim-R",NA,"Error messages, Language syntax",NA,Early Learner,male
2018-12-06T22:58:02Z,Financial Services and Activities,Credit Manager,Management,"C/C++, Excel, Java, Javascript, Visual Basic",C/C++,Beginner,2014,I don't feel proficient in R yet.,"Online course (e.g., Coursera, edX, Datacamp)",NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,4,3,No,Usually,Never -- I don't use Shiny.,Rarely -- I only write unit tests in situations that require it,The ecosystem,Learning curve,9,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Financial analysis",NA,NA,The white tidyverse,JavaScript d3 from ggplot,NA,NA,1981,masculin,El Salvador,Hispanic/Latinx,"Master’s degree (e.g. MA, MS, MEd)",3,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","Microsoft Excel, RStudio Desktop (IDE)",NA,"Data types, Error messages, Language syntax",NA,Early Learner,male
2018-12-06T22:59:18Z,Software,NA,Software developer,"C/C++, Excel, Python, SAS, SPSS, Tableau, Visual Basic",C/C++,Expert,1999,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I was personally interested,More than once a day,5,1,Yes,Usually,Frequently -- I frequently use or build Shiny applications,Rarely -- I only write unit tests in situations that require it,NA,NA,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing",NA,NA,NA,NA,NA,NA,1975,male,NA,White,"Master’s degree (e.g. MA, MS, MEd)",NA,Frequently -- I use version control on most of the code that I write,"Databricks, EMACS ESS mode, Jupyter Notebooks, Microsoft Excel, Python, R Command Line (i.e., the native R terminal interface), RStudio.cloud, RStudio Connect, RStudio Desktop (IDE), RStudio Desktop Pro (IDE), RStudio Server, RStudio Server Pro, SAS, Shinyapps.io, Shiny Server, Shiny Server Pro, SPSS",NA,Documentation,NA,Early Learner,male
2018-12-06T22:59:40Z,Research,Senior Engineer,Researcher,"Excel, Matlab, Python",Excel,Intermediate,2004,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,4,No,Usually,Frequently -- I frequently use or build Shiny applications,I don't know what unit tests are,Visualization,Hard to master,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning",NA,NA,ggplot2,scikit-learn,NA,Documentation,1974,male,United States of America,"Black/African, Hispanic/Latinx","Doctorate (e.g. PhD, EdD)",0,Frequently -- I use version control on most of the code that I write,"RStudio Desktop (IDE), Shiny Server",NA,"Error messages, Language syntax, Language irregularities",NA,Early Learner,male
2018-12-06T23:00:19Z,Research,NA,Researcher,"C/C++, Excel, Go, Java, Matlab, Python, Awk sed bash Eiffel prolog assembly basic",Basic,Expert,2003,Days,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I was personally interested,Between once a day and once a week,5,2,No,Usually,Frequently -- I frequently use or build Shiny applications,Frequently -- I write unit tests for most of the code that I write,NA,NA,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing, Genomics, Medicine, Clinical trials, Financial analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doctorate (e.g. PhD, EdD)",NA,Frequently -- I use version control on most of the code that I write,"Microsoft Excel, R Command Line (i.e., the native R terminal interface), Shinyapps.io",NA,Language irregularities,NA,Early Learner,NA
2018-12-06T23:00:30Z,Research,Conservation biologist,Researcher,"C/C++, Excel, PHP, Python, SAS, SPSS, Visual Basic",Basic and Assembler,Intermediate,2010,Months,On the job,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,3,No,Usually,Frequently -- I frequently use or build Shiny applications,Never -- I don't write unit tests,"User community, open source",Being RAM hungry,10,"Statistical analysis, Modeling, Visualization, Machine learning, Shiny apps",NA,NA,"Loads: e.g. tidyverse, modelling packages, Shiny","Not sure, maybe better memory management and not keeping everything in RAM",NA,NA,1978,male,Canada,White,"Doctorate (e.g. PhD, EdD)",20,Frequently -- I use version control on most of the code that I write,"R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE), RStudio Server, Shiny Server",NA,"Documentation, Error messages",NA,Early Learner,male
2018-12-06T23:02:40Z,Research,Postdoctoral Scholar,Researcher,"C/C++, Excel, Java, Matlab, Python, SPSS, BASIC",BASIC,Intermediate,2013,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,"I wanted to use a specific R package (e.g., ggplot2, caret, rmarkdown)",Between once a day and once a week,4,3,No,Usually,Never -- I don't use Shiny.,I don't know what unit tests are,The community,Base R,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Genomics",NA,NA,ggplot2,Reading in oddly formatted files,NA,Get rid of base,1987,male,United States of America,White,"Doctorate (e.g. PhD, EdD)",30,Never -- I don't use version control for my R code,"Microsoft Excel, RStudio Desktop (IDE)",NA,"Data types, Error messages, Language syntax, Language irregularities",NA,Early Learner,male
2018-12-06T23:03:23Z,Professional and Business Services,Senior Data Scientist,Data scientist or analyst,"Excel, Javascript, Python, SAS, SPSS, Tableau",HTML and css,Expert,2014,Months,On the job,NA,NA,NA,NA,I was personally interested,More than once a day,5,3,No,Occasionally,Sometimes -- I use or build Shiny applications occasionally,Frequently -- I write unit tests for most of the code that I write,Flexibility and the democratic nature of the community/contributing,Dependency management and breaking changes,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing, Survey analysis",NA,NA,Ggplot2,NA,NA,A lot has already been done since I started to make it easier.,1984,female,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",80,Frequently -- I use version control on most of the code that I write,"Jupyter Notebooks, Python, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE), RStudio Server, Shinyapps.io",NA,"Language syntax, Language irregularities, Using the R command line interface",NA,Early Learner,female
2018-12-06T23:07:21Z,Research,PhD,Researcher,"Excel, Matlab",R,Beginner,2017,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,2,Yes,Usually,Never -- I don't use Shiny.,Never -- I don't write unit tests,"Online support, open source material available",No comment,10,"Statistical analysis, Data transformation, Modeling, Visualization",NA,NA,Tidyverse,No comment,NA,No comment,1987,male,NA,Asian,"Master’s degree (e.g. MA, MS, MEd)",4,I don't know what version control is.,Microsoft Excel,NA,Data types,NA,Recent Learner,male
2018-12-06T23:07:21Z,Information Technologies,Data scientist,Data scientist or analyst,"Excel, Tableau",C/C++,Intermediate,2013,Months,On the job,NA,NA,NA,NA,It was required for my work,More than once a day,5,3,Yes,Usually,Sometimes -- I use or build Shiny applications occasionally,Never -- I don't write unit tests,Everything,None,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing, Financial analysis",NA,NA,Ggplot2,Base R should have more plotting capabilities,NA,Packages should have more documentation,1985,male,India,Asian,"Bachelor’s degree (e.g. BA, BS)",4,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow",RStudio Desktop (IDE),NA,"Error messages, Finding proper packages to use",NA,Early Learner,male
2018-12-06T23:07:52Z,Transportation,data scientist,Data scientist or analyst,"Excel, Python, SAS, Tableau",Java,Intermediate,2014,Months,In-person course (including bootcamps and workshops as well as more formal courses),NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,4,3,Yes,Occasionally,Never -- I don't use Shiny.,Never -- I don't write unit tests,robustness and flexibility of using machine learning algorithms and statistical analysis,NA,8,"Statistical analysis, Data transformation, Modeling, Machine learning, Text processing",NA,NA,"caret,dplyr",scraping web,NA,NA,1990,male,United States of America,Asian,"Master’s degree (e.g. MA, MS, MEd)",2,Never -- I don't use version control for my R code,"Python, RStudio Desktop (IDE), SAS",NA,"Language syntax, Managing packages",NA,Early Learner,male
2018-12-06T23:08:58Z,Research,Student Researcher,Student,"Excel, Matlab, SPSS",Excel,Intermediate,2016,Months,University classes,NA,NA,NA,NA,It was part of a course I took,Between once a day and once a week,5,4,Yes,Occasionally,Sometimes -- I use or build Shiny applications occasionally,I don't know what unit tests are,Available to everyone / open access,The language is hard to learn,10,"Statistical analysis, Data transformation, Modeling, Visualization",NA,NA,linear models,more GIS analysis,NA,more integrated feedback for beginners,1997,female,Canada,White,"Bachelor’s degree (e.g. BA, BS)",10,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","Microsoft Excel, RStudio Desktop (IDE)",NA,Getting started,NA,Early Learner,female
2018-12-06T23:09:20Z,Education,NA,Data scientist or analyst,"Excel, Javascript, Python",R,Expert,2012,Weeks,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I was personally interested,Between once a day and once a week,5,2,Yes,Usually,Sometimes -- I use or build Shiny applications occasionally,Never -- I don't write unit tests,NA,NA,10,"Data transformation, Visualization",NA,NA,NA,NA,NA,NA,1980,male,NA,White,"Master’s degree (e.g. MA, MS, MEd)",NA,Sometimes -- I use version control on critical parts of my work,"Python, RStudio Desktop (IDE), Shiny Server",NA,Getting started,NA,Early Learner,male
2018-12-06T23:09:57Z,Research,Professor researcher,Researcher,"Excel, Python, Tableau",fortran,Expert,2000,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,3,No,Usually,Sometimes -- I use or build Shiny applications occasionally,Never -- I don't write unit tests,being able to combine diverse packages,graph handling,10,"Statistical analysis, Modeling, Machine learning, Text processing, Graph analytics",NA,NA,NA,NA,NA,NA,1965,female,Colombia,"White, Hispanic/Latinx","Doctorate (e.g. PhD, EdD)",10,Sometimes -- I use version control on critical parts of my work,"Microsoft Excel, RStudio Desktop (IDE)",NA,Advanced functions,NA,Early Learner,female
2018-12-06T23:11:19Z,Education,PhD Candidate,Educator,"Excel, SPSS",I am just getting started learning programming,None,2018,NA,I haven't learned R yet,I want to do statistical analyses,"Statistical analysis, Visualization",Years,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Getting started,NA,NA,NA,"Microsoft Excel, SPSS",NA,1981,female,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",1,NA,NA,NA,NA,By myself using a book or online documentation that is not part of a formal course,Recent Learner,female
2018-12-06T23:11:48Z,Education,Professor,Educator,"Excel, SPSS, Visual Basic",Visual Basic,Intermediate,2010,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,4,4,No,Usually,Never -- I don't use Shiny.,I don't know what unit tests are,R markdown notebooks,NA,8,Statistical analysis,NA,NA,R studio,NA,NA,NA,1966,male,United States of America,White,"Doctorate (e.g. PhD, EdD)",1,Sometimes -- I use version control on critical parts of my work,"Microsoft Excel, RStudio.cloud, RStudio Desktop (IDE)",NA,Language irregularities,NA,Early Learner,male
2018-12-06T23:12:14Z,Research,Predoctoral Research Fellow,Researcher,"C/C++, Excel, Python, Stata",C/C++,Intermediate,2018,Months,On the job,NA,NA,NA,NA,It was required for my work,More than once a day,5,3,Yes,Occasionally,Never -- I don't use Shiny.,Sometimes -- I write unit tests when I have code that is critical to my project or work,"Pipes are honestly a game changer, coming from Python they make code very readable and makes writing code more natural.","Coming from Python, I felt like I lost most of the tools of a programmer: loops and wider variety of data structures (dictionaries, sets, tuples, etc) and object-oriented programming. It was really frustrating for about the first month, each time I wanted to do a task I felt like I couldn't just /do/ it like I could in Python (even when beginning). I felt like I was spending all of my time just looking up the ""right"" function to do something specific I needed rather than just spending 10-15 minutes hashing it out in a for-loop with a dictionary, which felt super inefficient. I've gotten to the point after 6 months of R use that I've learned a critical mass of functions to have a decent workflow.

Furthermore, I felt like R documentation was generally much worse than Python documentation. It was always difficult for me to really get a sense of what types of objects were going in and out of functions.",8,"Statistical analysis, Data transformation, Modeling, Visualization",NA,NA,"Magrittr, and pipes specifically.","Working with large datasets but not in memory, like Python's Dask. A lot of people have suggested SparkR or Sparklyr, but I tried to use those and honestly they were a nightmare to work with. Dask scales up and down really easily (works on my laptop and also works on a supercomputing cluster).",NA,"Maybe this already exists, but if (a) the CRAN website could be brought into 2018 and (b) there was some ""leaderboard"" of packages that are most frequently downloaded w/ a sentence description of the purpose of the package, that might be nice in finding what resources are out there and commonly used? Just thinking of the Apple App Store rankings.",1993,male,United States of America,White,"One or more graduate courses, no graduate degree",3,Frequently -- I use version control on most of the code that I write,"Databricks, Python, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE)",NA,"Data types, Documentation, Finding proper packages to use",NA,Recent Learner,male
2018-12-06T23:13:48Z,Telecommunications,Business analytics specialist,Data scientist or analyst,"C/C++, Excel, Java, Javascript, PHP, Python, Tableau",Pascal,Expert,2016,Years,"Online course (e.g., Coursera, edX, Datacamp)",NA,NA,NA,NA,I was personally interested,Between once a day and once a week,5,2,Yes,Usually,Sometimes -- I use or build Shiny applications occasionally,Rarely -- I only write unit tests in situations that require it,Get the job done in natural way and minimum code.,Too many packages and functions. New trick to learn.,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing, Survey analysis, Excel replacement",NA,NA,Tidyverse,Learn and keeping up with the new functions and tricks.,NA,N/A,1980,male,Bahrain,White,"Master’s degree (e.g. MA, MS, MEd)",4,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","Microsoft Excel, R Command Line (i.e., the native R terminal interface), RStudio.cloud, RStudio Desktop (IDE)",NA,"Finding proper packages to use, Managing packages",NA,Early Learner,male
2018-12-06T23:13:53Z,Information Technologies,NA,Data scientist or analyst,"C/C++, Go, Matlab, Python, Ruby, Scala, Julia, K",C/C++,Expert,2011,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,3,No,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Sometimes -- I write unit tests when I have code that is critical to my project or work,The wealth of packages available.,attach,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Survey analysis",NA,NA,"glmnet, ggplot, tidyverse",NA,NA,NA,1963,male,United States of America,"Asian, White","One or more graduate courses, no graduate degree",3,Frequently -- I use version control on most of the code that I write,"Databricks, Jupyter Notebooks, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE)",NA,Language irregularities,NA,Early Learner,male
2018-12-06T23:14:58Z,Education,NA,Student,"C/C++, Excel, Java, Javascript, PHP, Python, Visual Basic",C/C++,None,NA,NA,I haven't learned R yet,I am intellectually curious about R,"Machine learning, Text processing, Genomics, Medicine",Weeks,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Error messages,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,By myself using a book or online documentation that is not part of a formal course,NA,NA
2018-12-06T23:16:41Z,Health Care and Medicine,data analyst,Data scientist or analyst,"Python, SPSS, Tableau",stata,Intermediate,2015,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,3,Yes,Usually,Never -- I don't use Shiny.,Never -- I don't write unit tests,can handle all aspects of workflow from data manipulation to reporting,irregular syntax though tidyverse has helped tremendously,10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing",NA,NA,rmarkdown,NA,NA,learning tidyverse first,1989,female,United States of America,Black/African,"Master’s degree (e.g. MA, MS, MEd)",0,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","RStudio.cloud, RStudio Desktop (IDE)",NA,"Finding proper packages to use, Language irregularities",NA,Early Learner,female
2018-12-06T23:17:49Z,Information Technologies,Founder,Entrepreneur,"Excel, Tableau",SQL,Beginner,2016,I don't feel proficient in R yet.,"Online course (e.g., Coursera, edX, Datacamp)",NA,NA,NA,NA,I thought it would open new career opportunities,I don't use R any more,3,4,I don't know what the tidyverse is,I don't know what tidyverse is,I don't know what Shiny is.,Never -- I don't write unit tests,Extremely powerful tool,Complexity,7,None,NA,NA,NA,NA,NA,More intuitive,1979,male,United States of America,White,"One or more graduate courses, no graduate degree",0,I don't know what version control is.,None,NA,Exercises accelerated to quickly,NA,Early Learner,male
2018-12-06T23:19:58Z,Health Care and Medicine,Director,Management,"Excel, SAS, Tableau, Visual Basic",Pascal,Intermediate,2005,Weeks,Prior Experience with Splus,NA,NA,NA,NA,I wanted to do statistical analyses,Less than once a month,3,4,No,Never,Never -- I don't use Shiny.,Never -- I don't write unit tests,NA,NA,9,"Statistical analysis, Text processing",NA,NA,NA,NA,NA,NA,1968,male,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",1,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","Microsoft Excel, RStudio Desktop (IDE)",NA,"Finding proper packages to use, Language syntax",NA,Early Learner,male
2018-12-06T23:22:34Z,Utilities,Sr Data Analyst,Data scientist or analyst,"Excel, Python",R,Intermediate,2016,Months,On the job,NA,NA,NA,NA,It was required for my work,More than once a day,5,3,Yes,Usually,Frequently -- I frequently use or build Shiny applications,Never -- I don't write unit tests,Ease of data cleaning /manipulation. Concept of piping commands seems more intuitive than with other languages.,Industry awareness- Most employers are still not aware how valuable the tool is,10,"Statistical analysis, Data transformation, Visualization, Text processing, Financial analysis",NA,NA,DPLYR/GGPLOT,Nothing,NA,Nothing,1985,male,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",2,I don't know what version control is.,RStudio Desktop (IDE),NA,Using the R command line interface,NA,Early Learner,male
2018-12-06T23:24:31Z,Manufacturing,Engineer,Data scientist or analyst,"Excel, Python, Tableau",C/C++,Beginner,2016,I don't feel proficient in R yet.,On the job,NA,NA,NA,NA,I thought it would open new career opportunities,Less than once a month,3,4,No,Never,I don't know what Shiny is.,Never -- I don't write unit tests,More packages and viz is easy,Not sure,9,"Machine learning, Text processing",NA,NA,Not applicable,Not applicable,NA,Not sure,1978,m,Haiti,Asian,"Master’s degree (e.g. MA, MS, MEd)",NA,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow",RStudio Server,NA,Managing packages,NA,Early Learner,male
